pri_rank,port_id,port_name,country_name,iso2,iso3,latitude,longitude,pri_score,risk_tier,data_tier,n_dims,dims_used,dim_cv,cv_flag,d1_score,d1_tier,score_1_1,score_1_2,score_1_3,score_1_4,ctrl_depth_final,vessel_class_count,terminal_count,cyclone_passes,pga_g,d2_score,d2_tier,score_2_1,score_2_2,score_2_3,score_2_4,lpi_score,dwell_hours,labour_regime,d3_score,d3_tier,score_3_1,score_3_2,score_3_3,score_3_4,catchment_share_pct,hinterland_count,herfindahl,alt_distance_km,d4_score,d4_tier,score_4_1,score_4_2,score_4_3,score_4_4,wgi_ps,wgi_ge,sanctions_level,dispute_level
2766,31010.0,Harlingen,Netherlands,NL,NLD,53.183333,5.416667,1.1204,Moderate,A,4,D1|D2|D3|D4,0.651,False,1.732,A,10.0,10.0,0.0,0.9,3.4,0,1,0,0.03,3.043,A,2.25,2.244,8.0,2.124,4.1,47.0,volatile,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,48.7,0.254,A,2.26,1.0,0.0,0.0,1.37,2.0,none,none
2767,54280.0,Wallaroo,Australia,AU,AUS,-33.933333,137.616667,1.1197,Moderate,A,4,D1|D2|D3|D4,0.5908,False,1.831,A,7.5,10.0,0.0,1.5,9.4,1,1,0,0.05,2.672,A,3.25,3.269,2.0,2.4,3.7,63.0,stable,1.177,A,1.2,2.0,8.0,0.049,12,1,0.8,62.1,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2768,53710.0,Jervis Bay,Australia,AU,AUS,-35.116667,150.8,1.1197,Moderate,A,4,D1|D2|D3|D4,0.5908,False,1.831,A,7.5,10.0,0.0,1.5,23.2,1,1,0,0.05,2.672,A,3.25,3.269,2.0,2.4,3.7,63.0,stable,1.177,A,1.2,2.0,8.0,0.087,12,1,0.8,71.2,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2769,54810.0,Port Huon,Australia,AU,AUS,-43.166667,146.983333,1.1197,Moderate,A,4,D1|D2|D3|D4,0.5908,False,1.831,A,7.5,10.0,0.0,1.5,9.4,1,1,0,0.05,2.672,A,3.25,3.269,2.0,2.4,3.7,63.0,stable,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,17.2,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2770,54875.0,Port Latta,Australia,AU,AUS,-40.833333,145.383333,1.1197,Moderate,A,4,D1|D2|D3|D4,0.5908,False,1.831,A,7.5,10.0,0.0,1.5,23.2,1,1,0,0.05,2.672,A,3.25,3.269,2.0,2.4,3.7,63.0,stable,1.177,A,1.2,2.0,8.0,0.013,12,1,0.8,53.3,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2771,53750.0,Batemans Bay,Australia,AU,AUS,-35.7,150.166667,1.1195,Moderate,A,4,D1|D2|D3|D4,0.5812,False,1.655,A,5.0,10.0,0.0,1.5,13.5,2,1,0,0.05,2.672,A,3.25,3.269,2.0,2.4,3.7,63.0,stable,1.301,A,1.2,2.0,8.0,0.149,12,1,0.8,86.6,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2772,28823.0,Szczecin,Poland,PL,POL,53.416667,14.55,1.1192,Moderate,A,4,D1|D2|D3|D4,0.6112,False,1.483,A,7.5,7.171,0.0,0.9,9.1,1,4,0,0.03,2.774,A,3.75,3.718,2.0,2.124,3.5,70.0,stable,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,16.7,0.324,A,3.56,3.24,0.0,0.0,0.72,0.88,none,none
2773,1888.0,Natashquan,Canada,CA,CAN,50.083333333,-61.733333333,1.1183,Moderate,A,4,D1|D2|D3|D4,0.4909,False,1.6549,A,5.0,10.0,0.0,1.5,12.5,2,1,0,0.05,2.161,A,2.75,2.756,2.0,1.44,3.9,55.0,stable,1.602,A,1.2,2.0,8.0,0.343,12,1,0.8,134.0,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2774,5630.0,Miramichi,Canada,CA,CAN,47.016666667,-65.5,1.1181,Moderate,A,4,D1|D2|D3|D4,0.491,False,1.6549,A,5.0,10.0,0.0,1.5,12.5,2,1,0,0.05,2.161,A,2.75,2.756,2.0,1.44,3.9,55.0,stable,1.601,A,1.2,2.0,8.0,0.342,12,1,0.8,133.7,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2775,60400.0,Ulsan,South Korea,KR,KOR,35.45,129.4,1.1161,Moderate,A,4,D1|D2|D3|D4,0.6113,False,1.523,A,2.5,7.171,0.0,3.0,23.2,3,4,0,0.1,2.774,A,3.5,3.526,2.0,2.4,3.6,67.0,stable,1.177,A,1.2,2.0,8.0,0.005,12,1,0.8,51.2,0.312,A,3.7,2.36,0.0,0.0,0.65,1.32,none,none
